x=1066, y=1013, w=7, h=5
x=774, y=1012, w=20, h=32
x=732, y=1012, w=15, h=23
x=639, y=1012, w=4, h=8
x=120, y=1012, w=12, h=4
x=637, y=1011, w=3, h=7
x=460, y=1011, w=8, h=5
x=461, y=1011, w=7, h=5
x=953, y=1010, w=3, h=3
x=580, y=1010, w=3, h=5
x=580, y=1010, w=3, h=5
x=404, y=1010, w=10, h=8
x=404, y=1013, w=9, h=5
x=406, y=1010, w=3, h=4
x=327, y=1010, w=7, h=2
x=282, y=1010, w=6, h=8
x=618, y=1009, w=6, h=3
x=529, y=1009, w=4, h=13
x=530, y=1010, w=3, h=5
x=341, y=1009, w=35, h=19
x=59, y=1009, w=6, h=6
x=1398, y=1008, w=8, h=7
x=877, y=1008, w=5, h=5
x=652, y=1008, w=8, h=13
x=191, y=1008, w=6, h=5
x=802, y=1007, w=4, h=10
x=802, y=1012, w=4, h=4
x=729, y=1007, w=8, h=7
x=664, y=1007, w=24, h=23
x=313, y=1007, w=4, h=4
x=56, y=1007, w=35, h=15
x=70, y=1015, w=3, h=4
x=970, y=1006, w=6, h=9
x=865, y=1006, w=4, h=7
x=673, y=1006, w=8, h=14
x=620, y=1006, w=14, h=9
x=200, y=1006, w=10, h=6
x=205, y=1008, w=5, h=4
x=204, y=1008, w=3, h=3
x=34, y=1006, w=30, h=14
x=0, y=1006, w=3, h=2
x=1408, y=1005, w=11, h=6
x=952, y=1005, w=7, h=10
x=636, y=1005, w=5, h=4
x=636, y=1005, w=4, h=4
x=512, y=1005, w=13, h=8
x=505, y=1005, w=6, h=9
x=467, y=1005, w=15, h=11
x=4, y=1005, w=5, h=3
x=820, y=1004, w=2, h=5
x=736, y=1004, w=28, h=17
x=746, y=1004, w=4, h=4
x=572, y=1004, w=4, h=5
x=572, y=1004, w=3, h=3
x=491, y=1004, w=3, h=1
x=716, y=1003, w=16, h=6
x=390, y=1003, w=5, h=4
x=0, y=1003, w=4, h=1
x=1399, y=1002, w=9, h=11
x=824, y=1002, w=11, h=17
x=758, y=1002, w=17, h=11
x=767, y=1010, w=3, h=3
x=766, y=1009, w=3, h=3
x=684, y=1002, w=4, h=13
x=666, y=1002, w=2, h=4
x=656, y=1002, w=7, h=10
x=549, y=1002, w=5, h=10
x=482, y=1002, w=25, h=21
x=330, y=1002, w=4, h=4
x=65, y=1002, w=13, h=8
x=75, y=1004, w=3, h=5
x=66, y=1004, w=6, h=6
x=9, y=1002, w=22, h=8
x=14, y=1002, w=8, h=5
x=745, y=1001, w=4, h=2
x=541, y=1001, w=7, h=10
x=532, y=1001, w=21, h=20
